代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额
sz169201,浙商鼎盈LOF,0.0,0.0,0.0,0.0,0.0,1.735,0.0,0.0,0.0,0,0
sz169106,东方红创优定开,0.0,0.0,0.0,0.0,0.0,1.113,0.0,0.0,0.0,0,0
sz169105,东方红睿华LOF,0.0,0.0,0.0,0.0,0.0,1.699,0.0,0.0,0.0,0,0
sz169104,东方红睿满LOF,0.0,0.0,0.0,0.0,0.0,1.978,0.0,0.0,0.0,0,0
sz169101,东方红睿丰LOF,0.0,0.0,0.0,0.0,0.0,1.79,0.0,0.0,0.0,0,0
sz168701,金融科技LOF,0.0,0.0,0.0,0.0,0.0,1.355,0.0,0.0,0.0,0,0
sz168401,红土创新精选LOF,0.0,0.0,0.0,3.029,3.029,3.008,0.0,0.0,0.0,0,0
sz168301,东海祥龙LOF,0.0,0.0,0.0,0.0,0.0,0.923,0.0,0.0,0.0,0,0
sz168204,煤炭LOF,0.0,0.0,0.0,0.0,0.0,1.759,0.0,0.0,0.0,0,0
sz168203,钢铁LOF,0.0,0.0,0.0,0.0,0.0,1.288,0.0,0.0,0.0,0,0
sz168105,九泰泰富LOF,0.0,0.0,0.0,1.632,1.632,1.647,0.0,0.0,0.0,0,0
sz168104,九泰锐丰LOF,0.0,0.0,0.0,0.0,0.0,0.965,0.0,0.0,0.0,0,0
sz168103,九泰锐益LOF,0.0,0.0,0.0,0.0,0.0,1.303,0.0,0.0,0.0,0,0
sz168102,九泰锐富LOF,0.0,0.0,0.0,0.0,0.0,1.157,0.0,0.0,0.0,0,0
sz168101,九泰锐智LOF,0.0,0.0,0.0,0.0,0.0,1.346,0.0,0.0,0.0,0,0
sz168002,国寿精选LOF,0.0,0.0,0.0,2.019,2.019,2.045,0.0,0.0,0.0,0,0
sz167508,安信价值发现定开,0.0,0.0,0.0,0.0,0.0,1.637,0.0,0.0,0.0,0,0
sz167506,安信深圳科技LOF,0.0,0.0,0.0,1.684,1.684,1.688,0.0,0.0,0.0,0,0
sz167503,安信一带一路,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
sz167302,大湾区LOF,0.0,0.0,0.0,0.0,0.0,1.047,0.0,0.0,0.0,0,0
sz167301,保险主题LOF,0.0,0.0,0.0,1.146,1.146,1.145,0.0,0.0,0.0,0,0
sz167003,鼎弘LOF,0.0,0.0,0.0,0.0,0.0,1.147,0.0,0.0,0.0,0,0
sz167002,鼎越LOF,0.0,0.0,0.0,0.0,0.0,3.417,0.0,0.0,0.0,0,0
sz167001,鼎泰LOF,0.0,0.0,0.0,0.0,0.0,1.543,0.0,0.0,0.0,0,0
sz166802,浙商沪深300,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
sz166107,多因子LOF,0.0,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0,0
sz166027,中欧创业定开,0.0,0.0,0.0,0.0,0.0,0.878,0.0,0.0,0.0,0,0
sz166025,中欧远见定开,0.0,0.0,0.0,0.0,0.0,0.754,0.0,0.0,0.0,0,0
sz166024,中欧恒利定开,0.0,0.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0,0
sz166023,中欧瑞丰LOF,0.0,0.0,0.0,0.0,0.0,1.21,0.0,0.0,0.0,0,0
sz166016,中欧纯债LOF,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0,0
sz166011,中欧盛世LOF,0.0,0.0,0.0,0.0,0.0,2.151,0.0,0.0,0.0,0,0
sz166009,中欧动力LOF,0.0,0.0,0.0,0.0,0.0,3.262,0.0,0.0,0.0,0,0
sz166008,中欧强债LOF,0.0,0.0,0.0,0.0,0.0,1.127,0.0,0.0,0.0,0,0
sz166006,中欧成长LOF,0.0,0.0,0.0,0.0,0.0,2.032,0.0,0.0,0.0,0,0
sz166001,中欧趋势LOF,0.0,0.0,0.0,0.0,0.0,1.406,0.0,0.0,0.0,0,0
sz165528,中信保诚鼎利LOF,0.0,0.0,0.0,0.0,0.0,1.608,0.0,0.0,0.0,0,0
sz165526,中信保诚新旺,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
sz165525,基建工程LOF,0.0,0.0,0.0,0.754,0.754,0.754,0.0,0.0,0.0,0,0
sz165524,智能家居,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
sz165523,信息安全,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
sz165522,TMTLOF,0.0,0.0,0.0,0.0,0.0,1.07,0.0,0.0,0.0,0,0
sz165521,金融LOF,0.0,0.0,0.0,0.0,0.0,1.374,0.0,0.0,0.0,0,0
sz165520,有色LOF,0.0,0.0,0.0,0.0,0.0,2.103,0.0,0.0,0.0,0,0
sz165517,中信保诚双盈LOF,0.0,0.0,0.0,0.0,0.0,1.013,0.0,0.0,0.0,0,0
sz165516,中信保诚周期LOF,0.0,0.0,0.0,0.0,0.0,6.078,0.0,0.0,0.0,0,0
sz165515,中信保诚300LOF,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0,0
sz165513,中信保诚商品LOF,0.0,0.0,0.0,0.861,0.861,0.86,0.0,0.0,0.0,0,0
sz165512,中信保诚机遇LOF,0.0,0.0,0.0,0.0,0.0,1.286,0.0,0.0,0.0,0,0
sz165511,中信保诚500LOF,0.0,0.0,0.0,0.0,0.0,1.892,0.0,0.0,0.0,0,0
sz165509,中信保诚增强LOF,0.0,0.0,0.0,0.0,0.0,1.191,0.0,0.0,0.0,0,0
sz165508,中信保诚深度LOF,0.0,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.0,0,0
sz165313,建信优势LOF,0.0,0.0,0.0,0.0,0.0,3.278,0.0,0.0,0.0,0,0
sz165312,央视50财经,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
sz165310,沪深300增强,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
sz165309,沪深300LOF建信,0.0,0.0,0.0,0.0,0.0,1.811,0.0,0.0,0.0,0,0
sz164908,环境治理,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
sz164906,中概互联网LOF,0.0,0.0,0.0,1.303,1.303,1.304,0.0,0.0,0.0,0,0
sz164905,交银新能,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
sz164902,交银添利LOF,0.0,0.0,0.0,0.0,0.0,1.123,0.0,0.0,0.0,0,0
sz164824,印度基金LOF,0.0,0.0,0.0,1.476,1.476,1.475,0.0,0.0,0.0,0,0
sz164818,传媒基金,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
sz164814,工银双债LOF,0.0,0.0,0.0,0.0,0.0,1.136,0.0,0.0,0.0,0,0
sz164810,工银纯债定开,0.0,0.0,0.0,0.0,0.0,1.028,0.0,0.0,0.0,0,0
sz164705,恒生LOF,0.0,0.0,0.0,1.18,1.18,1.175,0.0,0.0,0.0,0,0
sz164701,黄金LOF,0.0,0.0,0.0,1.392,1.392,1.392,0.0,0.0,0.0,0,0
sz164606,信用增利LOF,0.0,0.0,0.0,0.0,0.0,1.253,0.0,0.0,0.0,0,0
sz164509,国富恒利债券LOF,0.0,0.0,0.0,0.0,0.0,0.718,0.0,0.0,0.0,0,0
sz164508,国富中证A100LOF,0.0,0.0,0.0,0.0,0.0,1.197,0.0,0.0,0.0,0,0
sz164403,农业精选LOF,0.0,0.0,0.0,1.236,1.236,1.232,0.0,0.0,0.0,0,0
sz164402,中航军工,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
sz164401,中证健康,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
sz163907,中海惠裕LOF,0.0,0.0,0.0,0.798,0.798,0.798,0.0,0.0,0.0,0,0
sz163821,沪深300等权LOF,0.0,0.0,0.0,0.0,0.0,1.999,0.0,0.0,0.0,0,0
sz163801,中银中国LOF,0.0,0.0,0.0,0.0,0.0,0.882,0.0,0.0,0.0,0,0
sz163503,天治核心LOF,0.0,0.0,0.0,0.424,0.424,0.423,0.0,0.0,0.0,0,0
sz163418,兴全合兴LOF,0.0,0.0,0.0,0.0,0.0,0.697,0.0,0.0,0.0,0,0
sz163417,兴全合宜LOF,0.0,0.0,0.0,1.844,1.844,1.855,0.0,0.0,0.0,0,0
sz163415,兴全商业模式LOF,0.0,0.0,0.0,4.215,4.215,4.214,0.0,0.0,0.0,0,0
sz163412,兴全轻资产LOF,0.0,0.0,0.0,0.0,0.0,2.767,0.0,0.0,0.0,0,0
sz163409,兴全绿色LOF,0.0,0.0,0.0,0.0,0.0,1.35,0.0,0.0,0.0,0,0
