symbol,name,name_trans,sml_id,related_pair_ID
POLY,Polymath,Polymath,25978092.0,1062867.0
CKB,Nervos Network,Nervos Network,28906688.0,1179967.0
DGB,DigiByte,极特币,25963492.0,1061782.0
BNX,BinaryX,BinaryX,28944922.0,1183034.0
SUSHI,SushiSwap,SushiSwap,28718141.0,1180930.0
KEEP,Keep Network,Keep Network,28898577.0,1180924.0
REN,Ren,Ren,27447257.0,1094111.0
CSPR,Casper,Casper,28900404.0,1179518.0
MXC,MXC,MXC,,
VVS,VVS Finance,VVS Finance,29001906.0,1187942.0
TWT,Trust Wallet Token,Trust Wallet Token,28898475.0,1179407.0
ANY,Anyswap,Anyswap,28967644.0,1185458.0
PLA,PlayDapp,PlayDapp,,
RACA,RadioCaca,Radio Caca,28896312.0,1180909.0
FLUX,Flux,Flux,28900406.0,1179520.0
XDB,DigitalBits,DigitalBits,28992313.0,1187148.0
CEEK,CEEK VR,CEEK VR,28916228.0,1180599.0
CFX,Conflux,Conflux,28888169.0,1178900.0
WIN,WINkLink,WINkLink,28904387.0,1071925.0
vBTC,Venus BTC,Venus BTC,,
MFT,Hifi Finance,Hifi Finance,27443707.0,1094108.0
PAC,PAC Global,PAC Global,25971747.0,1167217.0
DAO,DAO Maker,DAO Maker,,
HUM,Humanscape,Humanscape,,
MX,MX TOKEN,MX TOKEN,,
XNO,Nano,Nano,25989282.0,1066647.0
OCEAN,Ocean Protocol,Ocean Protocol,28702705.0,1167218.0
SPELL,Spell Token,Spell Token,28969697.0,1185624.0
XCH,Chia,Chia Network,28945776.0,1183078.0
MVL,MVL,MVL,27448251.0,1089406.0
TEL,Telcoin,Telcoin,25990363.0,1066749.0
LSK,Lisk,应用链,25726773.0,1061838.0
MED,MediBloc,MediBloc,25971694.0,1057909.0
DENT,Dent,Dent,25975774.0,1066652.0
XYO,XYO,XYO,27447266.0,1089401.0
RAY,Raydium,Raydium,28864439.0,1177163.0
INJ,Injective,Injective Protocol,28883015.0,1178580.0
XPRT,Persistence,Persistence,28876536.0,1178055.0
GAL,Project Galaxy,Project Galaxy,,
DAG,Constellation,Constellation,27443710.0,1088163.0
TITAN,TitanSwap,TitanSwap,,
CELR,Celer Network,Celer Network,28325498.0,1141870.0
BSW,Biswap,Biswap,29001905.0,1187941.0
XSGD,XSGD,XSGD,,
COTI,COTI,COTI,28590834.0,1159453.0
ORBS,Orbs,Orbs,,
DYDX,dYdX,dYdX,28888175.0,1178902.0
SYS,Syscoin,系统币,25975868.0,1062226.0
SURE,inSure DeFi,inSure DeFi,,
REQ,Request,Request,25971797.0,1061806.0
TRIBE,Tribe,Tribe,28961312.0,1184980.0
NU,NuCypher,NuCypher,28881184.0,1178481.0
POWR,Powerledger,Powerledger,25958504.0,1066644.0
vETH,Venus ETH,Venus ETH,,
PYR,Vulcan Forged PYR,Vulcan Forged PYR,28976075.0,1186000.0
ONG,Ontology Gas,Ontology Gas,,
PUNDIX,Pundi X (New),Pundi X (New),,
C98,Coin98,Coin98,28916146.0,1180590.0
CHR,Chromia,Chromia,28906603.0,1179958.0
1ECO,1eco,1eco,,
SNT,Status,Status,25738463.0,1061495.0
FET,Fetch.ai,Fetch.ai,27824522.0,1142591.0
PERP,Perpetual Protocol,Perpetual Protocol,28864348.0,1177119.0
FX,Function X,Function X,28556397.0,1156567.0
EURS,STASIS EURO,STASIS EURO,27516833.0,1094188.0
DIVI,Divi,Divi,26040772.0,1071294.0
UOS,Ultra,Ultra,28961240.0,1184981.0
MPL,Maple,Maple,,
ARDR,Ardor,阿朵币,25958502.0,1066631.0
HXRO,Hxro,Hxro,,
REV,Revain,R币,25975797.0,1066651.0
TLOS,Telos,Telos,,
AURORA,Aurora,Aurora,,
WRX,WazirX,WazirX,28560129.0,1156834.0
CVC,Civic,Civic,25738453.0,1061792.0
PEOPLE,ConstitutionDAO,ConstitutionDAO,28990168.0,1187027.0
STEEM,Steem,斯蒂姆币,25958496.0,1066620.0
SUSD,sUSD,sUSD,,
SUPER,SuperFarm,SuperFarm,28906602.0,1179956.0
TRAC,OriginTrail,OriginTrail,27447262.0,1089396.0
JOE,JOE,JOE,,
DERO,Dero,Dero,27520206.0,1096010.0
RGT,Rari Governance Token,Rari Governance Token,28900409.0,1179525.0
LYXe,LUKSO,LUKSO,,
STMX,StormX,StormX,25989506.0,1064946.0
METIS,MetisDAO,MetisDAO,28990115.0,1186801.0
PRO,Propy,Propy,25971751.0,1077039.0
ASD,ASD,ASD,,
erowan,SifChain,SifChain,,
DAR,Mines of Dalarnia,Mines of Dalarnia,28900408.0,1179522.0
RKN,Rakon,Rakon,,
BTCST,Bitcoin Standard Hashrate Token,Bitcoin Standard Hashrate Token,,
FUN,FUNToken,FUNToken,25971809.0,1061783.0
MOVR,Moonriver,Moonriver,28888172.0,1178896.0
CTSI,Cartesi,Cartesi,28647575.0,1163308.0
ALICE,MyNeighborAlice,MyNeighborAlice,28883016.0,1180921.0
OGN,Origin Protocol,Origin Protocol,28590833.0,1159451.0
MDX,Mdex,Mdex,28888177.0,1178903.0
XVG,Verge,Verge,25963231.0,1061531.0
vUSDC,Venus USDC,Venus USDC,,
RBTC,RSK Smart Bitcoin,RSK Smart Bitcoin,,
VTHO,VeThor Token,VeThor Token,,
EWT,Energy Web Token,Energy Web Token,28768608.0,1171233.0
EPS,Ellipsis,Ellipsis,28880097.0,1178420.0
MBOX,MOBOX,MOBOX,28919994.0,1180892.0
SUN,Sun (New),Sun (New),,
GHST,Aavegotchi,Aavegotchi,,
SSV,ssv.network,ssv.network,,
SNL,Sport and Leisure,Sport and Leisure,27823412.0,1142339.0
WXT,Wirex Token,Wirex Token,28372257.0,1141722.0
HERO,Metahero,Metahero,28969695.0,1185630.0
OXT,Orchid,Orchid,28667999.0,1165457.0
REP,Augur,Augur,25738439.0,1061481.0
HYN,Hyperion,Hyperion,,
ALPHA,Alpha Venture DAO,Alpha Finance Lab,28946532.0,1183113.0
ELF,aelf,aelf,25971707.0,1061493.0
AMPL,Ampleforth,Ampleforth,28668000.0,1165462.0
BFC,Bifrost (BFC),Bifrost (BFC),,
DAWN,Dawn Protocol,Dawn Protocol,,
NMR,Numeraire,Numeraire,26039275.0,1071193.0
ACH,Alchemy Pay,Alchemy Pay,28896311.0,1179277.0
BOBA,Boba Network,Boba Network,,
REEF,Reef,Reef,28876535.0,1180916.0
HOO,Hoo Token,Hoo Token,,
OUSD,Origin Dollar,Origin Dollar,,
ADS,Adshares,Adshares,26040735.0,1071333.0
STRK,Strike,Strike,,
STRAX,Stratis,Stratis,25882337.0,1061480.0
MAID,MaidSafeCoin,MaidSafeCoin,25738438.0,1061775.0
RLC,iExec RLC,云算宝,25738465.0,1061829.0
META,Metadium,Metadium,,
RSR,Reserve Rights,Reserve Rights,28742493.0,1169559.0
ERG,Ergo,Ergo,28877532.0,1178232.0
UFO,UFO Gaming,UFO Gaming,,
RIF,RSK Infrastructure Framework,RSK Infrastructure Framework,,
STPT,Standard Tokenization Protocol,Standard Tokenization Protocol,,
QKC,QuarkChain,QuarkChain,27385713.0,1094200.0
MTL,Metal,Metal,25971811.0,1061893.0
ANT,Aragon,阿拉贡,25738461.0,1061805.0
USDX,USDX [Kava],USDX [Kava],,
MNGO,Mango,Mango,,
SSX,SOMESING,SOMESING,,
LQTY,Liquity,Liquity,,
CENNZ,CENNZnet,Centrality,27516299.0,1094126.0
API3,API3,API3,28961241.0,1184984.0
AGIX,SingularityNET,SingularityNET,25976633.0,1066734.0
NKN,NKN,NKN,27515909.0,1093936.0
PROM,Prometeus,Prometeus,28883037.0,1178595.0
YGG,Yield Guild Games,Yield Guild Games,28900411.0,1179527.0
ETN,Electroneum,Electroneum,25971802.0,1061490.0
WMT,World Mobile Token,World Mobile Token,,
BAL,Balancer,Balancer,28839110.0,1175359.0
BICO,Biconomy,Biconomy,,
KLV,Klever,Klever,,
DVF,DeversiFi,DeversiFi,,
ARK,Ark,Ark,25958497.0,1066624.0
MBL,MovieBloc,MovieBloc,,
MASK,Mask Network,Mask Network,29000512.0,1187859.0
ANC,Anchor Protocol,Anchor Protocol,28969696.0,1185627.0
BAND,Band Protocol,Band Protocol,28635689.0,1162249.0
BADGER,Badger DAO,Badger DAO,28900407.0,1179521.0
ABBC,ABBC Coin,ABBC Coin,27817057.0,1123468.0
RAD,Radicle,Radicle,28913124.0,1180399.0
EXRD,e-Radix,e-Radix,,
POLS,Polkastarter,Polkastarter,28906687.0,1179965.0
MLN,Enzyme,Enzyme,,
BAKE,BakeryToken,BakeryToken,28800287.0,1173181.0
DEP,DEAPcoin,DEAPcoin,,
VERI,Veritaseum,Veritaseum,25958507.0,1061823.0
CORE,cVault.finance,cVault.finance,,
CRTS,Cratos,Cratos,,
STAKE,STAKE,STAKE,,
PCL,PECULIUM (old),Peculium,27443713.0,1088166.0
IQ,Everipedia,Everipedia,,
XCAD,XCAD Network,XCAD Network,,
aETHc,Ankr Reward Bearing Staked ETH,Ankr Reward Bearing Staked ETH,,
UTK,Utrust,Utrust,26001576.0,1066740.0
MV,GensoKishi Metaverse,GensoKishi Metaverse,,
FOX,Shapeshift FOX Token,Shapeshift FOX Token,,
TOMO,TomoChain,TomoChain,27443715.0,1094109.0
CUSD,Celo Dollar,Celo Dollar,,
BLOK,Bloktopia,Bloktopia,28905723.0,1180942.0
JASMY,JasmyCoin,JasmyCoin,28889865.0,1178989.0
DKA,dKargo,dKargo,,
XPR,Proton,Proton,,
UBT,Unibright,Unibright,27447263.0,1089397.0
DPI,DeFi Pulse Index,DeFi Pulse Index,,
KAI,KardiaChain,KardiaChain,,
AKT,Akash Network,Akash Network,28946870.0,1183138.0
CTK,CertiK,CertiK,,
HUNT,HUNT,HUNT,,
FWT,Freeway Token,Freeway Token,,
LCX,LCX,LCX,,
AURY,Aurory,Aurory,,
YOOSHI,YooShi,YooShi,,
TT,ThunderCore,ThunderCore,,
ZB,ZB Token,ZB Token,28508039.0,1153122.0
AIOZ,AIOZ Network,AIOZ Network,,
DUSK,Dusk Network,Dusk Network,28948151.0,1183679.0
MLN,Enzyme Finance,Melon,25738455.0,1061524.0
STARL,Starlink,Starlink,28913125.0,1180403.0
BETA,Beta Finance,Beta Finance,28993095.0,1187233.0
XVS,Venus,Venus,28757381.0,1170468.0
RMRK,RMRK,RMRK,,
NEST,NEST Protocol,NEST Protocol,,
QRDO,Qredo,Qredo,28948643.0,1183768.0
vBUSD,Venus BUSD,Venus BUSD,,
BNANA,Chimpion,Chimpion,,
LOOM,Loom Network,Loom Network,26671859.0,1076799.0
ONUS,ONUS,ONUS,,
LAT,PlatON,PlatON,,
QOM,Shiba Predator,Shiba Predator,,
TRU,TrueFi,TrueFi,28888170.0,1178898.0
MC,Merit Circle,Merit Circle,,
ORN,Orion Protocol,Orion Protocol,,
ZEON,ZEON,ZEON,,
UQC,Uquid Coin,Uquid Coin,,
PLTC,PlatonCoin,PlatonCoin,27815431.0,1176861.0
ALCX,Alchemix,Alchemix,,
DVI,Dvision Network,Dvision Network,,
AERGO,Aergo,Aergo,,
WAN,Wanchain,Wanchain,26638326.0,1094148.0
MWC,MimbleWimbleCoin,MimbleWimbleCoin,,
FORTH,Ampleforth Governance Token,Ampleforth Governance Token,,
SPS,Splintershards,Splintershards,,
DMCH,Darma Cash,Darma Cash,,
VAI,Vai,Vai,,
EGG,Nestree,Nestree,,
DG,Decentral Games,Decentral Games,,
SNM,SONM [old],SONM,25963493.0,1061492.0
SFP,SafePal,SafePal,28898474.0,1179409.0
GXC,GXChain,GXChain,25975866.0,1066648.0
WOZX,Efforce,EFFORCE,28718162.0,1168122.0
HTR,Hathor,Hathor,28946533.0,1183119.0
ALEPH,Aleph.im,Aleph.im,,
AXEL,AXEL,AXEL,,
QC,Qcash,Qcash,,
HI,HI,HI,,
CQT,Covalent,Covalent,,
PEAK,PEAKDEFI,PEAKDEFI,,
NOIA,Syntropy,Syntropy,,
HNS,Handshake,Handshake,,
CRE,Carry,Carry,,
ARPA,ARPA Chain,ARPA Chain,28649381.0,1180926.0
EUM,Elitium,Elitium,,
SFUND,Seedify.fund,Seedify.fund,,
CLV,CLV,CLV,,
RISE,EverRise,EverRise,,
PHA,Phala Network,Phala Network,,
CFG,Centrifuge,Centrifuge,,
AVA,Travala.com,Travala.com,,
MONA,MonaCoin,萌奈币,25958508.0,1066645.0
GMT,GMT Token,GMT Token,,
TORN,Tornado Cash,Tornado Cash,,
ALPACA,Alpaca Finance,Alpaca Finance,,
IDEX,IDEX,IDEX,,
BZRX,bZx Protocol,bZx Protocol,,
AGLD,Adventure Gold,Adventure Gold,,
TLM,Alien Worlds,Alien Worlds,28880096.0,1180914.0
BTS,BitShares,比特股,25958495.0,1066619.0
LTO,LTO Network,LTO Network,,
DDX,DerivaDAO,DerivaDAO,,
RAI,Rai Reflex Index,Rai Reflex Index,,
CON,CONUN,CONUN,,
BOO,SpookySwap,SpookySwap,,
GTC,Gitcoin,Gitcoin,,
ELA,Elastos,Elastos,27515488.0,1094122.0
SWAP,TrustSwap,TrustSwap,,
AQT,Alpha Quark Token,Alpha Quark Token,,
VRSC,VerusCoin,VerusCoin,,
TKO,Toko Token,Toko Token,28888167.0,1178892.0
VXV,Vectorspace AI,Vectorspace AI,,
NSBT,Neutrino Token,Neutrino Token,,
PNY,Peony,Peony,,
BMX,BitMart Token,BitMart Token,,
MOC,Moss Coin,Moss Coin,,
LOKA,League of Kingdoms Arena,League of Kingdoms Arena,,
ROOK,KeeperDAO,KeeperDAO,,
MLK,MiL.k,MiL.k,,
FLETA,FLETA,FLETA,,
POND,Marlin,Marlin,29000511.0,1187857.0
KP3R,Keep3rV1,Keep3rV1,28961238.0,1184977.0
XHV,Haven Protocol,Haven Protocol,26697583.0,1079296.0
HYDRA,Hydra,Hydra,,
LON,Tokenlon Network Token,Tokenlon Network Token,,
CBK,Cobak Token,Cobak Token,,
VOXEL,Voxies,Voxies,,
LINA,Linear Finance,Linear,28883058.0,1178591.0
XNC,XeniosCoin,XeniosCoin,,
EFI,Efinity Token,Efinity Token,28944923.0,1183032.0
BOR,BoringDAO,BoringDAO,,
GENE,Genopets,Genopets,,
MUSD,mStable USD,mStable USD,,
VRA,Verasity,Verasity,,
KMD,Komodo,科莫多币,25958500.0,1066628.0
YFII,DFI.Money,DFI.Money,28865595.0,1177247.0
WILD,Wilder World,Wilder World,,
VR,Victoria VR,Victoria VR,,
SOV,Sovryn,Sovryn,,
UPP,Sentinel Protocol,Sentinel Protocol,27447264.0,1089398.0
QUACK,RichQUACK.com,RichQUACK.com,,
MNW,Morpheus.Network,Morpheus.Network,,
RFR,Refereum,Refereum,26637964.0,1073133.0
KILT,KILT Protocol,KILT Protocol,,
BCD,Bitcoin Diamond,比特币钻石,25973822.0,1061454.0
FLM,Flamingo,Flamingo,,
SERO,Super Zero Protocol,Super Zero Protocol,,
TPT,TokenPocket,TokenPocket,,
BOSON,Boson Protocol,Boson Protocol,,
TROY,TROY,TROY,,
ATOLO,RIZON,RIZON,,
SLP,Smooth Love Potion,Smooth Love Potion,28877534.0,1180910.0
FARM,Harvest Finance,Harvest Finance,,
TVK,Terra Virtua Kolect,Terra Virtua Kolect,28906604.0,1179960.0
COCOS,Cocos-BCX,Cocos-BCX,28506181.0,1180918.0
BABY,BabySwap,BabySwap,,
CUDOS,CUDOS,CUDOS,,
GRS,Groestlcoin,Groestlcoin,25971788.0,1061865.0
MOF,Molecular Future,Molecular Future,,
ADX,Ambire AdEx,Ambire AdEx,25738443.0,1061473.0
COVAL,Circuits of Value,Circuits of Value,26040827.0,1071234.0
GF,GuildFi,GuildFi,,
ATA,Automata Network,Automata Network,28906605.0,1179962.0
VEGA,Vega Protocol,Vega Protocol,,
ALI,Alethea Artificial Liquid Intelligence Token,Alethea Artificial Liquid Intelligence Token,,
SOUL,Phantasma,Phantasma,27891109.0,1129451.0
DIA,DIA,DIA,,
BIOT,BioPassport Token,BioPassport Token,,
SBD,Steem Dollars,Steem Dollars,27517182.0,1094203.0
VELO,Velo,Velo,,
DAD,DAD,DAD,,
IRIS,IRISnet,IRISnet,28666378.0,1165358.0
RBN,Ribbon Finance,Ribbon Finance,,
COS,Contentos,Contentos,,
SDN,Shiden Network,Shiden Network,28900405.0,1179519.0
DPR,Deeper Network,Deeper Network,,
SOFI,RAI Finance,RAI Finance,,
APX,ApolloX,ApolloX,,
SIX,SIX,SIX,,
NRG,Energi,Energi,27816954.0,1123392.0
ERN,Ethernity,Ethernity,,
CLT,CoinLoan,CoinLoan,,
DNT,district0x,district0x,25738442.0,1061802.0
REV,RChain,RChain,25974792.0,1066654.0
KIN,Kin,Kin,25976631.0,1066655.0
MSOL,Marinade Staked SOL,Marinade Staked SOL,,
PRE,Presearch,Presearch,26041078.0,1071201.0
BZZ,Swarm,Swarm,,
ASM,Assemble Protocol,Assemble Protocol,,
NCT,PolySwarm,PolySwarm,,
ZASH,ZIMBOCASH,ZIMBOCASH,,
NFTX,NFTX,NFTX,,
CUBE,Somnium Space Cubes,Somnium Space Cubes,,
vUSDT,Venus USDT,Venus USDT,,
MIR,Mirror Protocol,Mirror Protocol,,
NMC,Namecoin,域名币,25971784.0,1117899.0
QUICK,QuickSwap,QuickSwap,28948152.0,1183681.0
WNCG,Wrapped NCG (Nine Chronicles Gold),Wrapped NCG (Nine Chronicles Gold),,
SAMO,Samoyedcoin,Samoyedcoin,,
XMON,XMON,XMON,,
PNK,Kleros,Kleros,27447173.0,1089388.0
DXD,DXdao,DXdao,,
NYE,NewYork Exchange,NewYork Exchange,,
AE,Aeternity,Aeternity,25963496.0,1061499.0
SDAO,SingularityDAO,SingularityDAO,,
YLD,YIELD App,YIELD App,,
DERC,DeRace,DeRace,,
FIO,FIO Protocol,FIO Protocol,28666381.0,1165349.0
ALPINE,Alpine F1 Team Fan Token,Alpine F1 Team Fan Token,,
GAS,Gas,Gas,25971810.0,1061780.0
NIF,Unifty,Unifty,,
ULT,Ultiledger,Ultiledger,,
TIME,Chrono.tech,Chrono.tech,,
DATA,Streamr,Streamr,25963376.0,1061487.0
RFOX,RFOX,RFOX,,
BOND,BarnBridge,BarnBridge,,
GRID,Grid+,Grid+,,
RSV,Reserve,Reserve,,
USDK,USDK,USDK,,
RARI,Rarible,Rarible,,
OXEN,Oxen,Oxen,28506213.0,1152980.0
AKRO,Akropolis,Akropolis,,
BSCPAD,BSCPAD,BSCPAD,,
HIGH,Highstreet,Highstreet,,
VBIT,Valobit,Valobit,,
OM,MANTRA DAO,MANTRA DAO,,
BLZ,Bluzelle,Bluzelle,26001473.0,1065485.0
CIV,Civilization,Civilization,,
BTSE,BTSE,BTSE,,
DGD,DigixDAO,DigixDAO,25738457.0,1061791.0
MET,Metronome,Metronome,27443703.0,1094107.0
WHALE,WHALE,WHALE,,
HARD,Kava Lend,Kava Lend,,
BLCT,Bloomzed Loyalty Club Ticket,Bloomzed Loyalty Club Ticket,,
LIT,Litentry,Litentry,,
"FCT,FCT2",FirmaChain,FirmaChain,,
ALBT,AllianceBlock,AllianceBlock,,
CTXC,Cortex,Cortex,27446113.0,1089267.0
ATLAS,Star Atlas,Star Atlas,28898576.0,1180933.0
MCT,Metacraft,Metacraft,,
QSP,Quantstamp,Quantstamp,25971789.0,1061789.0
MAP,MAP Protocol,MAP Protocol,,
NBS,New BitShares,New BitShares,,
SWP,Kava Swap,Kava Swap,,
NULS,NULS,NULS,25971705.0,1061520.0
AHT,AhaToken,AhaToken,,
RARE,SuperRare,SuperRare,,
FIRO,Firo,Firo,25976632.0,1066642.0
MARO,Maro,Maro,,
LA,LATOKEN,LATOKEN,26040808.0,1071254.0
GOM2,AnimalGo,AnimalGo,,
FSN,Fusion,Fusion,26039332.0,1071158.0
CXO,CargoX,CargoX,,
ZNN,Zenon,Zenon,28377938.0,1142186.0
H2O,H2O DAO,H2O DAO,,
HEZ,Hermez Network,Hermez Network,,
DODO,DODO,DODO,,
CHESS,Tranchess,Tranchess,,
AMO,AMO Coin,AMO Coin,,
LBC,LBRY Credits,LBRY Credits,26001915.0,1066762.0
LTX,Lattice Token,Lattice Token,,
THG,Thetan Arena,Thetan Arena,,
KEY,SelfKey,Selfkey,26041276.0,1066732.0
MDT,Measurable Data Token,量数币,26041281.0,1066728.0
HOPR,HOPR,HOPR,,
BNK,Bankera,Bankera,27384956.0,1081631.0
TRB,Tellor,Tellor,,
MOBI,Mobius,Mobius,27516312.0,1094006.0
